skill_count,technology_count,project_count,experience_count,certification_count,achievement_count,education_count,resume_length,has_github,has_linkedin,has_portfolio,readiness_label
3,2,1,0,0,0,1,900,0,1,0,0
4,3,1,0,1,0,1,1100,0,1,0,0
5,3,2,0,1,1,1,1400,1,1,0,0
6,4,2,1,1,1,1,1700,1,1,0,0
7,5,2,1,1,2,1,1900,1,1,1,0
8,5,3,1,1,2,1,2200,1,1,1,1
9,6,3,1,2,2,1,2400,1,1,1,1
10,6,3,1,2,3,1,2600,1,1,1,1
11,7,4,1,2,3,1,2800,1,1,1,1
12,7,4,2,2,3,1,3000,1,1,1,1
13,8,4,2,3,4,1,3200,1,1,1,1
14,8,5,2,3,4,1,3400,1,1,1,1
15,9,5,2,3,5,1,3600,1,1,1,1
16,10,5,2,4,5,1,3800,1,1,1,1
17,10,6,2,4,6,1,4000,1,1,1,1
18,11,6,3,4,6,1,4300,1,1,1,1
19,11,7,3,5,7,1,4500,1,1,1,1
20,12,7,3,5,8,1,4800,1,1,1,1
5,4,1,0,0,1,1,1300,0,1,0,0
6,4,2,0,1,1,1,1500,0,1,1,0
7,5,2,1,1,1,1,1800,1,1,0,0
8,6,3,1,2,2,1,2100,1,1,0,1
9,6,3,1,2,2,1,2300,1,1,1,1
10,7,4,1,2,3,1,2500,1,1,1,1
11,7,4,2,2,3,1,2700,1,1,1,1
12,8,4,2,3,4,1,2900,1,1,1,1
13,8,5,2,3,4,1,3100,1,1,1,1
4,2,1,0,0,0,1,800,0,0,0,0
5,3,1,0,1,0,1,1000,0,1,0,0
6,3,2,0,1,1,1,1200,0,1,0,0
7,4,2,1,1,1,1,1600,1,1,0,0
8,5,3,1,1,2,1,2000,1,1,1,1
9,5,3,1,2,2,1,2200,1,1,1,1
10,6,4,1,2,3,1,2450,1,1,1,1
11,6,4,2,2,3,1,2650,1,1,1,1
12,7,5,2,3,4,1,2850,1,1,1,1
13,9,5,2,3,5,1,3300,1,1,1,1
14,9,6,2,4,5,1,3500,1,1,1,1
